"uuid","viewDistance","session"
"1d3d007c-bcd7-44ea-90c1-4e3fccf4ab65",57.574,2
"1d3d007c-bcd7-44ea-90c1-4e3fccf4ab65",61.705,1
"1d9cca78-78b0-4eed-b664-96a8e2d72f7b",42.262,3
"1d9cca78-78b0-4eed-b664-96a8e2d72f7b",46.359,2
"1d9cca78-78b0-4eed-b664-96a8e2d72f7b",46.394,1
"1dae6c92-5683-4a14-947a-cd89276e12e7",52.04,2
"1dae6c92-5683-4a14-947a-cd89276e12e7",52.603,3
"1dae6c92-5683-4a14-947a-cd89276e12e7",54.85,1
"1dc6e621-3d13-4b89-9c72-b1f3bbcb63f7",43.048,3
"1dc6e621-3d13-4b89-9c72-b1f3bbcb63f7",46.852,2
"1dc6e621-3d13-4b89-9c72-b1f3bbcb63f7",27.886,1
"1deeba66-3dc3-4036-99ed-2cf1d28a7e2b",55.286,2
"1deeba66-3dc3-4036-99ed-2cf1d28a7e2b",63.028,3
"1deeba66-3dc3-4036-99ed-2cf1d28a7e2b",54.909,1
"1e97bc65-ad1c-40cd-a4d6-6ec52ff3052b",58.576,2
"1e97bc65-ad1c-40cd-a4d6-6ec52ff3052b",61.315,3
"1e97bc65-ad1c-40cd-a4d6-6ec52ff3052b",63.927,1
"1eaf582b-6b3f-4af1-a0c6-78a4b1a47d8f",44.737,2
"1eaf582b-6b3f-4af1-a0c6-78a4b1a47d8f",46.106,3
"1eaf582b-6b3f-4af1-a0c6-78a4b1a47d8f",51.689,1
"1f150e5b-a606-45fe-8d9a-f94d3750e58c",54.993,3
"1f150e5b-a606-45fe-8d9a-f94d3750e58c",55.087,2
"1f150e5b-a606-45fe-8d9a-f94d3750e58c",53.294,1
"1f22681c-aafe-4bd0-ab80-b310c9c2ab11",55.3,2
"1f22681c-aafe-4bd0-ab80-b310c9c2ab11",58.249,3
"1f22681c-aafe-4bd0-ab80-b310c9c2ab11",57.421,1
"1f27ab0c-f543-48d4-b9d7-07139009e6a7",49.149,2
"1f27ab0c-f543-48d4-b9d7-07139009e6a7",54.668,3
"1f27ab0c-f543-48d4-b9d7-07139009e6a7",58.651,1
"1f51d142-4779-4da9-ae0e-1486e77affc5",41.884,2
