"uuid","eccentricity_deg","critical_spacing_deg","correctRate","crowdingSession"
"6ae71f58-bb7f-4b4c-b8a9-6dabd6ca8ea2",6,1.18,0.96,2
"4ef58c70-518b-4bfa-88da-d67f4245730d",4,1.18,0.88,1
"34fc398a-5a37-4a74-91d5-6659616bf510",4,1.05,0.88,1
"4ef58c70-518b-4bfa-88da-d67f4245730d",4,1.39,0.92,2
"34fc398a-5a37-4a74-91d5-6659616bf510",6,2.19,0.88,2
"517b127d-8faf-4688-be77-5a63eba22e88",4,1.1,0.92,1
"517b127d-8faf-4688-be77-5a63eba22e88",6,1,0.96,2
"a5cc3fa9-8743-4fa7-87d9-de9624b0dc79",4,1.39,0.88,1
"a5cc3fa9-8743-4fa7-87d9-de9624b0dc79",4,1.3,0.88,2
"5ab005b8-f5c2-4048-8cdb-225f0613cd5c",6,2.49,0.84,1
"5ab005b8-f5c2-4048-8cdb-225f0613cd5c",4,1,0.96,2
"605d4152-3588-4e94-892c-f2dff0228572",4,2.25,0.84,1
"605d4152-3588-4e94-892c-f2dff0228572",4,1.47,0.84,2
"6d8a0a2d-a22c-4ee9-bb2d-0d5bd77febed",4,2.73,0.84,1
"6d8a0a2d-a22c-4ee9-bb2d-0d5bd77febed",4,1.61,0.84,2
"8d597393-412b-48ae-99c5-ffac9aa44d58",6,3.17,0.8,1
"8d597393-412b-48ae-99c5-ffac9aa44d58",6,2.62,0.88,2
"4f10d60e-9080-40f3-a4c2-c5a57b362d60",6,1.83,0.92,1
"4f10d60e-9080-40f3-a4c2-c5a57b362d60",6,1.83,0.92,2
"39355f6a-1efc-462a-9319-dfeadd12e9d0",4,1,0.96,1
"39355f6a-1efc-462a-9319-dfeadd12e9d0",4,1,1,2
"9a7c233b-e0ab-475a-a700-0a9a7639e0b4",4,1.1,0.88,1
"9a7c233b-e0ab-475a-a700-0a9a7639e0b4",6,2.23,0.88,2
"b15d40c1-8e92-4883-9425-b76e8b3e44d6",4,1.61,0.88,1
"b15d40c1-8e92-4883-9425-b76e8b3e44d6",4,1.5,0.88,2
"5c57eb63-3b0d-493f-ab91-5ace6aa95c28",4,2.66,0.72,1
"5c57eb63-3b0d-493f-ab91-5ace6aa95c28",4,1.33,0.8,2
"85d33d08-cd85-407d-a0f6-0aedb050fe10",4,1.81,0.84,1
"85d33d08-cd85-407d-a0f6-0aedb050fe10",4,1.5,0.88,2
"31681693-1e61-4018-a766-e9e4e5748c06",6,1.06,0.96,1
"31681693-1e61-4018-a766-e9e4e5748c06",6,1.51,0.92,2
"4e52c17b-f3a1-4853-9893-c656d79ef5e5",6,3.49,0.84,1
"4e52c17b-f3a1-4853-9893-c656d79ef5e5",4,1.69,0.72,2
"55b020a5-f4b3-4358-8313-3b59c8977bda",4,1.73,0.84,1
"55b020a5-f4b3-4358-8313-3b59c8977bda",4,1.57,0.88,2
"5df92e56-a672-44d5-8170-7e98ed14a872",4,1.27,0.92,1
"5df92e56-a672-44d5-8170-7e98ed14a872",4,1.39,0.92,2
"435d5a5e-dcc2-4a70-8ef3-57bdfbeaf89b",4,3,0.8,1
"435d5a5e-dcc2-4a70-8ef3-57bdfbeaf89b",4,1.1,0.92,2
"7a342fbe-c1bd-4d61-b820-6097fa5d3b9a",4,1.91,0.88,1
"7a342fbe-c1bd-4d61-b820-6097fa5d3b9a",6,4.33,0.8,2
"2084ccec-f9ea-48f1-be3f-ef279406e2a5",4,2.15,0.88,1
"27787d55-0368-4892-abda-e0bad67d4f58",4,1.27,0.92,1
"5efa1b9c-34fe-435a-bd13-02492ab68454",6,1.83,0.92,1
"2084ccec-f9ea-48f1-be3f-ef279406e2a5",6,2.25,0.92,2
"27787d55-0368-4892-abda-e0bad67d4f58",4,1.18,0.92,2
"5efa1b9c-34fe-435a-bd13-02492ab68454",4,1.18,0.92,2
"69154170-1dbc-40bb-88d4-96dc61aa9105",4,1.73,0.88,1
"69154170-1dbc-40bb-88d4-96dc61aa9105",4,1.73,0.88,2
"4d6b6dfd-f442-48c1-a7ef-405533f70811",6,3.66,0.84,1
"4d6b6dfd-f442-48c1-a7ef-405533f70811",4,1.24,0.92,2
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",4,1.21,0.88,1
"0ee575a4-7bcb-41d7-b8dd-37b729135b5b",4,1.1,0.92,2
"4b684406-2a5a-49cd-a0f6-d0eb1d71fdfb",4,1.1,0.92,1
"4b684406-2a5a-49cd-a0f6-d0eb1d71fdfb",4,1.58,0.88,2
"26dcc9ee-9a2e-489e-a25f-37defd8636b3",4,3,0.08,1
"26dcc9ee-9a2e-489e-a25f-37defd8636b3",6,1.06,0.92,2
"a87adff6-8d8f-4a57-9e1e-bf4beb833d26",4,1.1,0.88,1
"a87adff6-8d8f-4a57-9e1e-bf4beb833d26",4,1,0.92,2
"45ffa49e-3db6-4ca9-a681-3b9a248a7a59",4,1.3,0.88,1
"45ffa49e-3db6-4ca9-a681-3b9a248a7a59",4,1,0.92,2
"4fbc8e50-5acb-46dd-8079-6fdaa00f4d9d",4,1.33,0.88,1
"4fbc8e50-5acb-46dd-8079-6fdaa00f4d9d",6,1,0.92,2
"c2f990bc-93aa-43ee-b731-f30e062265ab",4,2.59,0.72,1
"c2f990bc-93aa-43ee-b731-f30e062265ab",4,2.59,0.72,2
"80812a10-4f97-43d7-a0f0-cd0a32610757",6,1.71,0.92,1
"80812a10-4f97-43d7-a0f0-cd0a32610757",4,1.1,0.92,2
"982562d1-ba5b-4ae5-b333-ea03d8687e70",4,3,0.64,1
"982562d1-ba5b-4ae5-b333-ea03d8687e70",6,3.62,0.84,2
"5fb1665e-15bb-4e99-9955-ad7e3b5a9b8b",4,1,0.92,1
"5fb1665e-15bb-4e99-9955-ad7e3b5a9b8b",4,1,0.96,2
"bf208e4d-df95-43bc-b62a-7407b8086cf5",4,1.5,0.84,1
"bf208e4d-df95-43bc-b62a-7407b8086cf5",4,1.69,0.88,2
"e83b77d2-1c33-490a-ac67-36c73286dee3",6,1.66,0.92,1
"e83b77d2-1c33-490a-ac67-36c73286dee3",6,1.51,0.92,2
"cb02f152-ec37-4b05-aede-4507341de3b0",4,1.3,0.92,1
"cb02f152-ec37-4b05-aede-4507341de3b0",4,1.07,0.88,2
"ace6b18d-0361-425e-b126-541a04c27f42",4,3,0.52,1
"ace6b18d-0361-425e-b126-541a04c27f42",6,3.72,0.64,2
"a3a204b8-34bf-47a0-ad40-14457c83244f",4,1,0.96,1
"a3a204b8-34bf-47a0-ad40-14457c83244f",4,1,1,2
"f91374ea-7d99-4cec-918d-491f7ece1829",6,4.23,0.84,1
"f91374ea-7d99-4cec-918d-491f7ece1829",6,2.38,0.84,2
"2ef56f84-b4d9-4190-a672-46e2008ffb13",4,3,0.36,1
"2ef56f84-b4d9-4190-a672-46e2008ffb13",6,4.99,0.64,2
"cf8f1b87-1726-47c1-b512-8118a9c59d6f",4,1,0.96,1
"cf8f1b87-1726-47c1-b512-8118a9c59d6f",4,1.1,0.92,2
"11dc1a68-a876-479d-b222-04d6b99d9389",4,1.3,0.96,1
"11dc1a68-a876-479d-b222-04d6b99d9389",4,1.39,0.92,2
"afb9481a-abac-451e-92dd-8ff43e649cf7",4,1.16,0.88,1
"afb9481a-abac-451e-92dd-8ff43e649cf7",4,1.47,0.88,2
"f8ae5780-ba01-4648-9722-7f0c98a44479",4,1,0.96,1
"f8ae5780-ba01-4648-9722-7f0c98a44479",4,1,0.96,2
"82f3b0e4-4a50-4c6b-86e9-9aaf1cf1d2c4",4,2.45,0.8,1
"82f3b0e4-4a50-4c6b-86e9-9aaf1cf1d2c4",4,1.63,0.88,2
"dad0c128-c426-4dd7-90e4-afbca70d6db9",4,1.1,0.92,1
"dad0c128-c426-4dd7-90e4-afbca70d6db9",6,1.53,0.92,2
